"","slope"
"s_w_slope",-0.389365839830969
"s_d_slope",0.378681252449169
"c_w_slope",0.024802958372399
"c_d_slope",-0.367657462370052
"n_w_slope",-0.024154101845706
"n_d_slope",0.463872074016139
