"","V1","V2","X.1","X","ID_Year","Family","Block","Treatment","Region","Site.Lat","Experiment_Date","SLA","Water_Content","Assimilation","Stomatal_Conductance","Period","Region.period"
"1",-0.818101302570196,0.550509394264477,1,33,"S02_2014",28,3,"D","3.South","32.9_S02",87,201.603206412826,0.191923076923077,6.39013110333333,0.720946445333333,"Peak","3.South_Peak"
"2",0.441330661967399,0.239377174254696,2,4,"S02_2014",28,4,"D","3.South","32.9_S02",97,262.316666666667,0.2,12.7239395333333,0.554848788,"Peak","3.South_Peak"
"3",-1.94701188525678,-0.360416288584148,3,121,"S02_2014",29,4,"D","3.South","32.9_S02",96,184.086294416244,0.254193548387097,7.87412207733333,0.260412678333333,"Peak","3.South_Peak"
"4",0.308937529715311,-0.560841312952746,4,19,"S02_2014",30,3,"D","3.South","32.9_S02",98,269.357021996616,0.173823529411765,8.817329632,0.558942673,"Peak","3.South_Peak"
"5",-0.110098719942041,-0.729909626042859,5,201,"S02_2014",30,4,"D","3.South","32.9_S02",91,269.888143176734,0.159642857142857,9.96797378066667,0.374165602666667,"Peak","3.South_Peak"
"6",1.05017052240913,1.78041207060729,6,273,"S02_2014",31,3,"D","3.South","32.9_S02",97,190.821018062397,0.179117647058824,18.2077488266667,0.675584852666667,"Peak","3.South_Peak"
"7",-1.41394799233409,1.04995962863463,7,281,"S02_2014",31,4,"D","3.South","32.9_S02",87,185,0.253333333333333,14.1459447866667,0.321049115666667,"Peak","3.South_Peak"
"8",-0.727123004672984,0.51451710645221,8,353,"S02_2014",32,3,"D","3.South","32.9_S02",97,185.862457722661,0.227435897435897,13.60013277,0.348325433666667,"Peak","3.South_Peak"
"9",0.433038641383708,-1.11931189131338,9,361,"S02_2014",32,4,"D","3.South","32.9_S02",96,293.375262054507,0.1490625,11.4521881966667,0.307731124333333,"Peak","3.South_Peak"
"10",1.86891307659356,1.87211868546739,10,433,"S02_2014",33,3,"D","3.South","32.9_S02",90,272.386634844869,0.1676,20.0564484,0.756758838,"Peak","3.South_Peak"
"11",-0.781349685230405,-1.04704265540393,11,441,"S02_2014",33,4,"D","3.South","32.9_S02",106,233.583441138422,0.234242424242424,10.2701798566667,0.194940105,"Peak","3.South_Peak"
"12",2.53812790988623,0.0269676629206524,12,513,"S02_2014",34,3,"D","3.South","32.9_S02",99,338.946015424165,0.125483870967742,17.15018357,0.630957188333333,"Peak","3.South_Peak"
"13",0.552649434091804,-0.215197662048264,13,521,"S02_2014",34,4,"D","3.South","32.9_S02",92,288.084677419355,0.165333333333333,12.63910918,0.468752387666667,"Peak","3.South_Peak"
"14",0.250486768493088,2.05024422730611,14,592,"S02_2014",35,3,"D","3.South","32.9_S02",95,184.489208633093,0.231666666666667,15.2668423166667,0.773863531333333,"Peak","3.South_Peak"
"15",-1.88058290802405,-0.598229332386977,15,601,"S02_2014",35,4,"D","3.South","32.9_S02",94,203.04897314376,0.243461538461538,7.470326896,0.241624742666667,"Peak","3.South_Peak"
"16",-1.65358276164208,-0.810642712597904,16,681,"S02_2014",36,4,"D","3.South","32.9_S02",99,194.569832402235,0.235526315789474,9.37802475033333,0.126540313666667,"Peak","3.South_Peak"
"17",2.0747292224431,0.74751736232024,17,751,"S02_2014",37,3,"D","3.South","32.9_S02",99,287.831541218638,0.150810810810811,18.0385611733333,0.655488019,"Peak","3.South_Peak"
"18",-1.02440823484262,-3.53712602541605,18,761,"S02_2014",37,4,"D","3.South","32.9_S02",104,316.219686162625,0.17525,2.58096082533333,0.0177266876666667,"Peak","3.South_Peak"
"19",2.03081202165013,1.20208325959127,19,831,"S07_2014",48,3,"D","3.South","34.3_S07",94,278.75,0.1425,16.1099860433333,0.846236169333333,"Peak","3.South_Peak"
"20",-0.289760875259356,-0.504923800232637,20,841,"S07_2014",48,4,"D","3.South","34.3_S07",90,263.970588235294,0.174358974358974,10.3689116966667,0.374201326333333,"Peak","3.South_Peak"
"21",-3.84358369858909,-0.728341433257014,21,921,"S07_2014",49,4,"D","3.South","34.3_S07",82,148.207381370826,0.258636363636364,3.46935147166667,0.0664020803333333,"Peak","3.South_Peak"
"22",0.701714610875569,-0.0226080615278541,22,991,"S07_2014",50,3,"D","3.South","34.3_S07",91,256.738703339882,0.130512820512821,12.4039919666667,0.526628071,"Peak","3.South_Peak"
"23",-0.193369218121439,0.743420002706638,23,1001,"S07_2014",50,4,"D","3.South","34.3_S07",88,197.650429799427,0.166190476190476,13.49681197,0.47360948,"Peak","3.South_Peak"
"24",0.149018243199816,0.771807930023698,24,1071,"S07_2014",51,3,"D","3.South","34.3_S07",92,208.433515482696,0.1715625,10.6515781,0.704641979,"Peak","3.South_Peak"
"25",-2.59257937643388,-0.862677496292876,25,1081,"S07_2014",51,4,"D","3.South","34.3_S07",84,198.525641025641,0.222857142857143,6.75397945433333,0.0801877583333333,"Peak","3.South_Peak"
"26",2.48422473164877,2.51777139711712,26,1161,"S07_2014",52,4,"D","3.South","34.3_S07",98,239.177215189873,0.169285714285714,19.7785309166667,1.02027008566667,"Peak","3.South_Peak"
"27",-1.18141122519197,0.990502762805801,27,1231,"S07_2014",53,3,"D","3.South","34.3_S07",87,211.09375,0.256,12.0627263,0.472594893666667,"Peak","3.South_Peak"
"28",0.619272116582523,1.1590909612495,28,1241,"S07_2014",53,4,"D","3.South","34.3_S07",98,212.869127516779,0.198666666666667,15.0293772366667,0.650091917333333,"Peak","3.South_Peak"
